Unnamed: 0,Rest_type
905,Cafe
906,Cafe
907,Cafe
908,Quick Bites
908,Cafe
909,Casual Dining
909,Cafe
910,Cafe
911,Cafe
912,Cafe
913,Cafe
914,Cafe
915,Cafe
916,Cafe
917,Cafe
918,Quick Bites
919,Cafe
920,Cafe
921,Cafe
922,Delivery
923,Casual Dining
924,Casual Dining
925,Quick Bites
926,Quick Bites
927,Takeaway
927,Delivery
928,Quick Bites
929,Takeaway
929,Delivery
930,Takeaway
930,Delivery
931,Takeaway
931,Delivery
932,Quick Bites
933,Dessert Parlor
934,Quick Bites
935,Takeaway
935,Delivery
936,Takeaway
936,Delivery
937,Delivery
938,Quick Bites
939,Quick Bites
940,Quick Bites
941,Takeaway
941,Delivery
942,Quick Bites
943,Quick Bites
944,Takeaway
944,Delivery
945,Quick Bites
946,Quick Bites
947,Quick Bites
948,Quick Bites
949,Casual Dining
950,Quick Bites
951,Quick Bites
952,Cafe
953,Quick Bites
954,Quick Bites
955,Delivery
956,Casual Dining
957,Dessert Parlor
958,Quick Bites
959,Quick Bites
960,Quick Bites
961,Dessert Parlor
962,Casual Dining
963,Takeaway
963,Delivery
964,Takeaway
964,Delivery
965,Casual Dining
966,Quick Bites
967,Delivery
968,Casual Dining
969,Takeaway
969,Delivery
970,Casual Dining
971,Food Court
972,Quick Bites
973,Quick Bites
974,Quick Bites
975,Quick Bites
976,Quick Bites
977,Kiosk
978,Quick Bites
979,Takeaway
979,Delivery
980,Takeaway
980,Delivery
981,Takeaway
981,Delivery
982,Quick Bites
983,Takeaway
983,Delivery
984,Quick Bites
985,Quick Bites
986,Takeaway
986,Delivery
987,Takeaway
987,Delivery
988,Takeaway
988,Delivery
989,Quick Bites
990,Takeaway
990,Delivery
991,Quick Bites
992,Quick Bites
993,Quick Bites
994,Casual Dining
995,Casual Dining
996,Casual Dining
997,Casual Dining
998,Quick Bites
999,Unknown
1000,Casual Dining
1001,Dhaba
1002,Quick Bites
1003,Takeaway
1003,Delivery
1004,Quick Bites
1005,Takeaway
1005,Delivery
1006,Delivery
1007,Quick Bites
1008,Quick Bites
1009,Quick Bites
1010,Takeaway
1010,Delivery
1011,Casual Dining
1012,Quick Bites
1013,Quick Bites
1014,Casual Dining
1015,Casual Dining
1015,Cafe
1016,Quick Bites
1017,Quick Bites
1018,Quick Bites
1019,Takeaway
1019,Delivery
1020,Quick Bites
1021,Quick Bites
1022,Casual Dining
1023,Quick Bites
1024,Cafe
1025,Casual Dining
1026,Casual Dining
1027,Quick Bites
1028,Casual Dining
1029,Quick Bites
1030,Casual Dining
1031,Takeaway
1031,Delivery
1032,Quick Bites
1033,Quick Bites
1034,Casual Dining
1035,Casual Dining
1036,Casual Dining
1037,Beverage Shop
1038,Quick Bites
1039,Quick Bites
1040,Casual Dining
1041,Cafe
1042,Quick Bites
1043,Quick Bites
1044,Casual Dining
1045,Casual Dining
1046,Dessert Parlor
1047,Quick Bites
1048,Quick Bites
1049,Casual Dining
1050,Bakery
1051,Delivery
1052,Casual Dining
1053,Casual Dining
1054,Delivery
1055,Quick Bites
1056,Takeaway
1056,Delivery
1057,Dessert Parlor
1058,Delivery
1059,Quick Bites
1060,Delivery
1061,Quick Bites
1062,Dessert Parlor
1063,Quick Bites
1064,Quick Bites
1065,Quick Bites
1066,Quick Bites
1067,Quick Bites
1068,Casual Dining
1069,Pub
1069,Casual Dining
1070,Casual Dining
1071,Quick Bites
1072,Sweet Shop
1073,Delivery
1074,Delivery
1075,Quick Bites
1076,Casual Dining
1077,Takeaway
1077,Delivery
1078,Casual Dining
1079,Delivery
1080,Casual Dining
1080,Bar
1081,Casual Dining
1082,Quick Bites
1083,Casual Dining
1084,Quick Bites
1085,Bakery
1086,Casual Dining
1087,Takeaway
1087,Delivery
1088,Quick Bites
1089,Quick Bites
1090,Takeaway
1090,Delivery
1091,Takeaway
1091,Delivery
1092,Quick Bites
1093,Delivery
1094,Dessert Parlor
1095,Beverage Shop
1096,Casual Dining
1097,Quick Bites
1098,Quick Bites
1099,Cafe
1100,Quick Bites
1101,Casual Dining
1102,Beverage Shop
1103,Quick Bites
1104,Dessert Parlor
1104,Beverage Shop
1105,Delivery
1106,Quick Bites
1107,Delivery
1108,Quick Bites
1109,Quick Bites
1110,Quick Bites
1111,Quick Bites
1112,Casual Dining
1113,Delivery
1114,Casual Dining
1115,Quick Bites
1116,Quick Bites
1117,Quick Bites
1118,Quick Bites
1119,Quick Bites
1120,Quick Bites
1121,Quick Bites
1122,Quick Bites
1123,Quick Bites
1124,Quick Bites
1125,Takeaway
1125,Delivery
1126,Beverage Shop
1126,Dessert Parlor
1127,Quick Bites
1128,Quick Bites
1129,Delivery
1130,Takeaway
1131,Casual Dining
1132,Quick Bites
1133,Delivery
1134,Delivery
1135,Casual Dining
1135,Bar
1136,Kiosk
1137,Quick Bites
1138,Quick Bites
1138,Sweet Shop
1139,Delivery
1140,Cafe
1141,Quick Bites
1142,Beverage Shop
1143,Casual Dining
1143,Bar
1144,Quick Bites
1145,Delivery
1146,Quick Bites
1147,Dessert Parlor
1148,Casual Dining
1149,Quick Bites
1150,Casual Dining
1151,Microbrewery
1152,Quick Bites
1153,Quick Bites
1154,Casual Dining
1155,Quick Bites
1156,Quick Bites
1157,Quick Bites
1158,Food Court
1159,Takeaway
1159,Delivery
1160,Cafe
1161,Quick Bites
1162,Casual Dining
1163,Sweet Shop
1163,Quick Bites
1164,Delivery
1165,Quick Bites
1166,Casual Dining
1167,Quick Bites
1168,Quick Bites
1169,Takeaway
1170,Bakery
1170,Quick Bites
1171,Casual Dining
1172,Casual Dining
1173,Quick Bites
1174,Quick Bites
1175,Takeaway
1175,Delivery
1176,Quick Bites
1177,Quick Bites
1178,Quick Bites
1179,Casual Dining
1180,Quick Bites
1181,Delivery
1182,Casual Dining
1183,Quick Bites
1184,Delivery
1185,Beverage Shop
1185,Quick Bites
1186,Cafe
1187,Quick Bites
1188,Casual Dining
1189,Casual Dining
1190,Quick Bites
1191,Casual Dining
1192,Cafe
1193,Quick Bites
1193,Cafe
1194,Casual Dining
1195,Casual Dining
1196,Bakery
1197,Quick Bites
1198,Quick Bites
1199,Quick Bites
1200,Food Court
1201,Quick Bites
1202,Quick Bites
1203,Cafe
1204,Casual Dining
1204,Cafe
1205,Quick Bites
1206,Casual Dining
1207,Food Court
1208,Takeaway
1208,Delivery
1209,Takeaway
1209,Delivery
1210,Quick Bites
1211,Casual Dining
1212,Quick Bites
1213,Casual Dining
1213,Bar
1214,Delivery
1215,Quick Bites
1216,Quick Bites
1217,Quick Bites
1218,Quick Bites
1219,Delivery
1220,Beverage Shop
1221,Delivery
1222,Casual Dining
1223,Takeaway
1224,Dessert Parlor
1225,Quick Bites
1226,Casual Dining
1227,Quick Bites
1228,Delivery
1229,Dessert Parlor
1230,Quick Bites
1231,Casual Dining
1232,Casual Dining
1233,Quick Bites
1234,Casual Dining
1235,Casual Dining
1236,Casual Dining
1237,Quick Bites
1238,Delivery
1239,Casual Dining
1240,Casual Dining
1241,Quick Bites
1242,Casual Dining
1243,Quick Bites
1244,Quick Bites
1245,Dessert Parlor
1245,Beverage Shop
1246,Delivery
1247,Delivery
1248,Quick Bites
1249,Casual Dining
1249,Bar
1250,Quick Bites
1251,Quick Bites
1252,Quick Bites
1253,Cafe
1254,Quick Bites
1255,Takeaway
1255,Delivery
1256,Takeaway
1256,Delivery
1257,Dessert Parlor
1258,Quick Bites
1259,Quick Bites
1260,Casual Dining
1261,Cafe
1262,Food Court
1262,Quick Bites
1263,Quick Bites
1264,Cafe
1265,Beverage Shop
1265,Quick Bites
1266,Quick Bites
1267,Delivery
1268,Casual Dining
1269,Quick Bites
1269,Dessert Parlor
1270,Quick Bites
1271,Quick Bites
1272,Casual Dining
1273,Dessert Parlor
1274,Quick Bites
1275,Delivery
1276,Kiosk
1277,Quick Bites
1278,Beverage Shop
1279,Dessert Parlor
1280,Food Court
1281,Casual Dining
1282,Cafe
1282,Bakery
1283,Bakery
1284,Beverage Shop
1285,Kiosk
1286,Quick Bites
1287,Cafe
1288,Quick Bites
1289,Dessert Parlor
1290,Food Court
1291,Quick Bites
1292,Takeaway
1292,Delivery
1293,Quick Bites
1294,Quick Bites
1295,Dessert Parlor
1296,Casual Dining
1297,Quick Bites
1297,Beverage Shop
1298,Quick Bites
1299,Bakery
1300,Unknown
1301,Delivery
1302,Quick Bites
1303,Delivery
1304,Casual Dining
1305,Casual Dining
1306,Dessert Parlor
1307,Quick Bites
1308,Beverage Shop
1308,Quick Bites
1309,Cafe
1310,Quick Bites
1311,Quick Bites
1312,Quick Bites
1313,Quick Bites
1314,Quick Bites
1315,Food Court
1316,Casual Dining
1317,Casual Dining
1318,Quick Bites
1319,Casual Dining
1320,Delivery
1321,Quick Bites
1322,Quick Bites
1323,Quick Bites
1324,Casual Dining
1325,Quick Bites
1326,Dessert Parlor
1327,Sweet Shop
1327,Quick Bites
1328,Dessert Parlor
1329,Beverage Shop
1330,Quick Bites
1331,Beverage Shop
1332,Delivery
1333,Food Court
1334,Beverage Shop
1335,Takeaway
1336,Casual Dining
1337,Sweet Shop
1338,Dessert Parlor
1339,Takeaway
1339,Delivery
1340,Quick Bites
1341,Casual Dining
1342,Takeaway
1342,Delivery
1343,Kiosk
1344,Delivery
1345,Dessert Parlor
1346,Casual Dining
1347,Delivery
1348,Beverage Shop
1349,Beverage Shop
1350,Quick Bites
1351,Quick Bites
1352,Quick Bites
1353,Cafe
1354,Takeaway
1354,Delivery
1355,Quick Bites
1356,Quick Bites
1357,Dessert Parlor
1358,Quick Bites
1359,Food Truck
1360,Quick Bites
1361,Quick Bites
1362,Quick Bites
1363,Quick Bites
1364,Sweet Shop
1365,Pub
1365,Bar
1366,Quick Bites
1367,Quick Bites
1368,Beverage Shop
1369,Bakery
1369,Quick Bites
1370,Beverage Shop
1371,Quick Bites
1372,Casual Dining
1372,Bar
1373,Delivery
1374,Quick Bites
1375,Quick Bites
1376,Unknown
1377,Beverage Shop
1377,Quick Bites
1378,Kiosk
1379,Cafe
1380,Quick Bites
1380,Beverage Shop
1381,Casual Dining
1382,Dessert Parlor
1383,Quick Bites
1384,Beverage Shop
1385,Sweet Shop
1386,Casual Dining
1387,Quick Bites
1388,Quick Bites
1389,Quick Bites
1390,Quick Bites
1391,Quick Bites
1392,Casual Dining
1393,Casual Dining
1394,Takeaway
1394,Delivery
1395,Dessert Parlor
1396,Casual Dining
1397,Takeaway
1397,Delivery
1398,Casual Dining
1398,Pub
1399,Beverage Shop
1400,Quick Bites
1401,Quick Bites
1402,Quick Bites
1403,Cafe
1404,Food Court
1405,Casual Dining
1406,Dessert Parlor
1407,Quick Bites
1408,Food Truck
1409,Casual Dining
1410,Cafe
1411,Cafe
1411,Quick Bites
1412,Takeaway
1412,Delivery
