Unnamed: 0,Dish_liked
357,Mojito
357,Prawn Ghee Roast
357,Corn Tikki
357,Mushroom Ghee Roast
357,Pinacolada
357,Biryani
358,Not Provided
359,Biryani
359,Thick Shakes
359,Fries
360,Vegetarian
361,Not Provided
362,Not Provided
363,Not Provided
364,Not Provided
365,Not Provided
366,Not Provided
367,Not Provided
368,Not Provided
369,Not Provided
370,Not Provided
371,Not Provided
372,Not Provided
373,Not Provided
374,Sweet Pongal
374,Curd Rice
375,Pesto Pizza
375,Buffalo Wings
375,Cocktails
375,Beer
375,Egg Ghee Roast
375,Brownie
375,Pepper Chicken
376,Not Provided
377,Not Provided
378,Not Provided
379,Not Provided
380,Not Provided
381,Not Provided
382,Not Provided
383,Not Provided
384,Not Provided
385,Not Provided
386,Not Provided
387,Not Provided
388,Not Provided
389,Not Provided
390,Waffles
390,Sandwiches
390,Maggi
390,Thick Shakes
390,Chocolate Sandwich
391,Not Provided
392,Not Provided
393,Not Provided
394,Not Provided
395,Honey Chilli Potatoes
395,Nachos
395,Lemonade
395,Hakka Noodles
395,Babycorn Manchurian
395,Mushroom Manchurian
395,Spring Roll
396,Manchow Soup
396,Momos
396,Wonton Soup
396,Chowmein
396,American Chopsuey
396,Chop Suey
396,Manchurian
397,Pasta
397,Pizza
397,Nachos
397,Gelato
397,Ravioli
397,Jalapeno Poppers
397,Cocktails
398,Masala Vada Pav
398,Cheese Vada Pav
398,Fries
399,Corn Augratin
399,Lasagne
399,Fries
399,Garlic Bread
399,Pili Pili Pizza
399,Mexican Rice
399,Ravioli
400,Salads
400,Sandwiches
400,Pasta
400,Mocktails
400,Corn Sandwich
400,Garden Salad
400,Miso Salad
401,Coffee
401,Thali
401,Kharabath
401,Masala Dosa
401,Idli Vada
401,Vanilla Ice Cream
401,Bisi Bele Bhaath
402,Veg Jaipuri
402,Neer Dosa
402,Kulcha
402,Pepper Chicken
402,Chilli Mushroom
402,Murgh Platter
402,Paneer Tikka
403,Pizza
403,Pasta Alfredo
403,Brownie
403,Garlic Bread
403,Sandwiches
403,Lemon Mojito
403,Mocha Fudge
404,Mocktails
404,Tomato Soup
404,Pasta
404,Nachos
404,Chaat
404,Potli Biryani
404,Lassi
405,Paratha
405,Lassi
405,Manchurian
405,Thali
406,Rolls
406,Burgers
406,Juicy Momos
406,Chicken Momo
406,Chocolate Momos
406,Mushroom Momo
406,Paneer Momos
407,Macaroon
407,Mousse
407,Caramel Eclair
408,Dahi Papadi Chaat
408,Papdi Chaat
408,Bhel Puri
408,Paratha
408,Kachori
408,Thali
408,Masala Poori
409,Chicken Grill
410,Gulab Jamun
410,Roti
410,Masala Papad
410,Babycorn Manchurian
410,Paratha
410,Clear Soup
410,Biryani
411,Sugarcane Juice
411,Popcorn
412,Egg Biryani
412,Tandoori Chicken
412,Fish
412,Rumali Roti
413,Rava Dosa
413,Roti
413,Masala Dosa
413,Kulcha
413,Sandwiches
413,Vada Pav
413,Idli
414,Masala Poori
414,Bhel Puri
414,Panipuri
414,Chaat
414,Dahipuri
414,Sev Puri
414,Dahi Aloo Puri
415,Faluda
415,Mango Lassi
415,Sweet Lassi
415,Fruit Salad
415,Shrikhand
415,Matka Kulfi
415,Pudina Lassi
416,Not Provided
417,Neer Dosa
417,Sea Food
417,Pepper Chicken
418,Ginger Chai
418,Ginger Tea
418,Banana Cake
418,Samosa
418,Masala Chai
418,Banana Walnut
419,Masala Dosa
419,Idli
419,Filter Coffee
419,Medu Dosa
420,Pizza
420,Fries
420,Anjeer Ice Cream
420,Sandwiches
420,Gelato
420,Burgers
420,Kesar Badam
421,Paratha
421,Kachori
421,Tea
421,Lassi
421,Samosa
421,Vada Pav
422,Not Provided
423,Not Provided
424,Biryani
424,Chicken Grill
424,Butter Chicken
425,Not Provided
426,Not Provided
427,Not Provided
428,Not Provided
429,Not Provided
430,Not Provided
431,Not Provided
432,Not Provided
433,Not Provided
434,Not Provided
435,Not Provided
436,Not Provided
437,Not Provided
439,Not Provided
441,Not Provided
442,Not Provided
443,Not Provided
444,Not Provided
445,Not Provided
446,Not Provided
447,Not Provided
448,Not Provided
449,Not Provided
450,Not Provided
451,Not Provided
452,Not Provided
453,Not Provided
454,Not Provided
455,Not Provided
456,Pasta
456,Lunch Buffet
456,Masala Papad
456,Paneer Lajawab
456,Tomato Shorba
456,Dum Biryani
456,Sweet Corn Soup
457,Veg Buffet
457,Pasta
457,Salads
457,Rasmalai
457,Chaat
457,Biryani
457,Fries
458,Not Provided
459,Not Provided
460,Mocktails
460,Peri Fries
460,Lasagne
460,Pizza
460,Chicken Bbq Wings
460,Virgin Mojito
460,Nachos
461,Paneer Tikka
461,Masala Papad
461,Garlic Naan
462,Not Provided
463,Not Provided
464,Gajar Ka Halwa
464,Lassi
464,Jeera Rice
464,Shahi Paneer
464,Shikanji
464,Makke Ki Roti
464,Kofta Curry
465,Pizza
465,Pasta
465,Garlic Bread
465,Nachos
465,Penne Alfredo
465,Mozzarella Sticks
465,Salad
466,Not Provided
467,Lassi
467,French Fries
467,Cheese Balls
467,Paneer Pakora
467,Dal Makhani
467,Buttermilk
467,Cheese Paratha
468,Not Provided
469,Pav Bhaji
469,Chaat
469,Sandwiches
469,Coffee
469,Noodles
469,Masala Dosa
469,Roti
470,Not Provided
471,Andhra Meal
471,Mutton Biryani
471,Chicken Sholay
471,Chicken Biryani
471,Chicken Guntur
471,Andhra Thali
471,Guava Ice Cream
472,Not Provided
473,Fries
473,Oreo Shake
473,Pasta Arrabiata
474,Churros
474,Cannelloni
474,Minestrone Soup
474,Hot Chocolate
474,Pink Sauce Pasta
474,Salsa
474,Veg Supreme Pizza
475,Butter Naan
475,Filter Coffee
475,Pav Bhaji
475,Vada
475,Babycorn Manchurian
475,Tea
475,Paneer Tikka Masala
476,Cocktails
476,Pasta
476,Paneer Tikka
476,Mocktails
476,Wheat Beer
476,Corn Paratha
476,Misal Pav
477,Lassi
